"company_code;plant_code;supplier_code;supplier_plant;part_code;part_name;line_dc;date_scan_dc;npk_dc;line_ma;date_scan_ma;npk_ma;line_delivery;date_scan_delivery;npk_delivery;cust_part_number","","","","","","","","","","","","","","",""
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","09","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","09","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","09","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","09","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","08","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","09","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","09","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-13","001594","MA006","2018-12-13","001357","09","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-13","001594","MA006","2018-12-13","001357","09","2018-12-14","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-13","001594","MA006","2018-12-13","001357","07","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-13","001594","MA006","2018-12-13","001357","07","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","07","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","07","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","09","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","09","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","09","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","09","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","09","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","09","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","09","2018-12-18","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","09","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","06","2018-12-18","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","03","2018-12-18","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","03","2018-12-18","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","03","2018-12-18","","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","01","2018-12-17","","12101-OYO40"
