"company_code;plant_code;supplier_code;supplier_plant;part_code;part_name;line_dc;date_scan_dc;npk_dc;line_ma;date_scan_ma;npk_ma;line_delivery;date_scan_delivery;npk_delivery;cust_part_number","","","","","","","","","","","","","","",""
"80J7","6","5011","2","15011418C12A353","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 6","2018-12-14","123","12101-OYO40"
"80J7","6","5011","2","15011418C12A348","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 5","2018-12-14","123","12101-OYO40"
"80J7","6","5011","2","15011418C12A356","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 5","2018-12-14","123","12101-OYO40"
"80J7","6","5011","2","15011418C12A357","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 5","2018-12-14","123","12101-OYO40"
"80J7","6","5011","2","15011418C12A358","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 5","2018-12-14","123","12101-OYO40"
"80J7","6","5011","2","15011418C12A359","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 6","2018-12-14","123","12101-OYO40"
"80J7","6","5011","2","15011418C12A362","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 5","2018-12-14","123","12101-OYO40"
"80J7","6","5011","2","15011418C12A363","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 5","2018-12-14","123","12101-OYO40"
"80J7","6","5011","2","15011418C12A364","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 5","2018-12-14","123","12101-OYO40"
"80J7","6","5011","2","15011418C12A366","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-12","001594","MA006","2018-12-13","001357","Cycle 5","2018-12-14","123","12101-OYO40"
